Дата отправления;Объем кузова;Станция отправления;Станция назначения;Наименование груза;Станция отправления код;Станция назн. код;Ставка с Заказчиком б/ндс, руб;Отправки УТК, в/о;Длительность
04.10.2022;150;Жинишке;Маарду (эксп. через порт Мууга);Хрома (VI) оксид (ангидрид хромовый, триоксид хрома) безводный;66780;08220;77272,17;1;
04.10.2022;150;Жинишке;Маарду (эксп. через порт Мууга);Хрома (VI) оксид (ангидрид хромовый, триоксид хрома) безводный;66780;08220;77272,17;1;
04.10.2022;150;Жинишке;Маарду (эксп. через порт Мууга);Хрома оксид;66780;08220;77272,17;1;
04.10.2022;150;Жинишке;Маарду (эксп. через порт Мууга);Хрома оксид;66780;08220;77272,17;1;
05.10.2022;138;Кая;Перевоз;Шрот, содержащий не более 1.5 % масла и не более 11 % влаги;93280;92300;39166,67;1;
05.10.2022;138;Арзамас II;Егорьевск I;Смеси сухие строительные на основе смешанных вяжущих с массовой долей полимерной составляющей до 5% массы смеси и с минеральными заполнителями, кроме смесей с огнеупорными или пористыми заполнителями;24420;23340;39943,20;1;
05.10.2022;138;Шедок;Грозный;Плиты и плитки гипсовые;53590;54000;54000,00;1;
05.10.2022;138;Шедок;Грозный;Плиты и плитки гипсовые;53590;54000;54000,00;1;
05.10.2022;150;Батарейная;Толгойт;Масла минеральные, светлые, не поименованные в алфавите;93260;01076;81500,00;1;
05.10.2022;158;Батарейная;Толгойт;Масла минеральные, светлые, не поименованные в алфавите;93260;01076;81500,00;1;
05.10.2022;138;Китой-Комбинатская;Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее);Селитра аммиачная;93210;93710;81500,00;1;
05.10.2022;138;Шедок;Астрахань I;Плиты и плитки гипсовые;53590;61680;71000,00;1;
05.10.2022;161;Темиртау;Магнитогорск-Грузовой;Кальция карбид;67430;81760;40000,00;1;
05.10.2022;138;Брест-Центральный (эксп.);Ногинск;Консервы овощные;13060;23100;70000,00;1;
05.10.2022;138;Белгород;Вологда II;Мел в кусках, молотый и толченый;43450;30030;66666,67;1;
05.10.2022;138;Колпино;Ворсма;Плиты и плитки гипсовые;03160;26920;40000,00;1;
05.10.2022;138;Достык;Новосибирск-Западный;Поливинилхлорид;70840;85120;40000,00;1;
05.10.2022;150;Старый Оскол;Архангельск-Город;Сборная повагонная отправка;43850;29050;84166,67;1;
05.10.2022;138;Китой-Комбинатская;Разрез;Селитра аммиачная;93210;86240;35000,00;1;
05.10.2022;138;Магнитогорск-Грузовой;Барнаул;Жесть всякая;81760;84010;72450,00;1;
05.10.2022;138;Речная;Рубцовск;Порошок магнезитовый металлургический;80670;84340;148999,87;1;
05.10.2022;150;Маарду (эксп. через порт Мууга);Тольятти;Масла растительные, пищевые, не поименованные в алфавите;08220;63730;72304,08;1;
05.10.2022;150;Магнитогорск-Грузовой;Ростов-Западный;Изделия шамотные, не поименованные в алфавите;81760;51040;72500,00;1;
05.10.2022;138;Колпны;Смычка;Сахар-песок;20890;77000;70000,00;1;
05.10.2022;138;Колпны;Смычка;Сахар-песок;20890;77000;70000,00;1;
05.10.2022;150;Уманская;Заневский Пост;Сахар-песок;51680;03690;52500,00;1;
05.10.2022;150;Уманская;Заневский Пост;Сахар-песок;51680;03690;52500,00;1;
05.10.2022;150;Уманская;Заневский Пост;Сахар-песок;51680;03690;52500,00;1;
05.10.2022;138;Владикавказ;Тихоново;Перлит, не поименованный в алфавите;53870;64890;35000,00;1;
05.10.2022;138;Владикавказ;Тихоново;Перлит, не поименованный в алфавите;53870;64890;35000,00;1;
05.10.2022;138;Речная;Риддер;Изделия магнезитовые;80670;71360;179156,25;1;
05.10.2022;158;Барнаул;Назарбек;Плиты древесностружечные;84010;72220;130000,00;1;
05.10.2022;138;Новороссийск;Новый Порт;Крупа, не поименованная в алфавите;52090;03580;45833,33;1;
05.10.2022;174;Игоревская;Сумгаит;Плиты древесностружечные;17300;54640;130000,00;1;
